XCoordinate,YCoordinate,TimeInSeconds
398,182,0.338
389,179,0.367
367,172,0.383
328,158,0.401
296,143,0.417
288,137,0.433
274,132,0.451
268,128,0.467
266,128,0.484
261,128,0.5
258,128,0.517
257,128,0.567
253,132,0.585
252,134,0.601
247,138,0.618
245,140,0.635
245,143,0.655
245,144,0.667
244,150,0.685
244,155,0.701
244,165,0.717
247,172,0.735
253,174,0.752
274,180,0.768
312,179,0.785
346,175,0.801
409,164,0.819
464,149,0.835
492,140,0.851
523,133,0.869
544,127,0.885
552,125,0.901
563,119,0.918
575,112,0.935
582,108,0.952
587,106,0.969
589,106,0.985
591,105,1.002
589,105,1.023
588,106,1.036
583,110,1.052
562,130,1.069
521,157,1.086
498,165,1.102
425,202,1.119
366,224,1.136
334,230,1.152
327,232,1.17
313,234,1.186
298,239,1.203
293,240,1.22
273,243,1.236
257,243,1.253
236,237,1.269
208,225,1.286
186,208,1.303
174,193,1.32
172,188,1.337
167,173,1.354
166,166,1.37
165,157,1.387
165,149,1.403
165,138,1.42
165,135,1.437
166,128,1.453
171,120,1.47
173,116,1.487
181,107,1.503
192,97,1.521
203,92,1.537
226,85,1.554
267,85,1.571
298,94,1.587
367,125,1.604
413,155,1.62
427,163,1.637
443,167,1.655
456,167,1.671
464,167,1.688
477,166,1.704
498,158,1.72
513,146,1.737
518,142,1.754
526,132,1.771
531,122,1.787
532,119,1.804
533,115,1.82
533,107,1.838
533,99,1.854
526,75,1.871
514,55,1.888
507,46,1.904
488,27,1.92
474,14,1.938
467,8,1.955
462,5,1.971
461,5,1.987
459,5,2.006
457,7,2.021
452,16,2.038
446,23,2.055
439,32,2.071
435,37,2.088
433,39,2.105
432,40,2.121
426,47,2.363
419,55,2.372
409,66,2.388
396,89,2.405
389,100,2.423
382,114,2.439
381,119,2.456
379,124,2.472
379,126,2.489
381,132,2.506
386,138,2.523
393,143,2.539
416,147,2.556
454,149,2.573
475,149,2.589
512,149,2.606
542,154,2.623
557,155,2.64
587,159,2.656
613,166,2.673
626,169,2.69
649,173,2.707
665,174,2.723
672,175,2.745
684,179,2.757
699,177,2.773
705,176,2.79
713,175,2.807
716,175,2.824
717,174,2.84
718,174,2.857
718,175,2.926
717,175,2.941
711,177,2.957
685,182,2.974
639,186,2.991
621,187,3.008
594,188,3.024
573,190,3.041
555,193,3.058
548,193,3.074
531,195,3.091
516,195,3.108
505,195,3.124
485,189,3.141
476,185,3.158
463,174,3.175
453,163,3.191
444,154,3.208
442,148,3.225
436,142,3.241
432,134,3.258
429,130,3.275
428,126,3.292
428,123,3.308
428,119,3.326
431,112,3.342
432,97,3.358
438,93,3.375
448,86,3.392
458,76,3.408
467,72,3.425
493,63,3.441
524,59,3.458
542,59,3.475
589,69,3.491
628,86,3.508
641,95,3.526
658,106,3.541
671,119,3.559
674,123,3.576
678,127,3.592
681,130,3.609
687,137,3.625
694,142,3.643
705,147,3.659
713,149,3.676
719,149,3.693
733,149,3.709
751,149,3.725
757,149,3.743
769,149,3.759
777,149,3.776
779,149,3.792
781,149,3.809
783,145,3.86
783,144,3.875
783,143,3.893
783,142,3.962
782,142,3.976
769,136,3.993
757,136,4.01
732,133,4.026
704,128,4.043
691,124,4.06
663,118,4.077
645,110,4.093
634,105,4.11
621,96,4.127
613,88,4.144
611,86,4.16
607,77,4.177
604,68,4.194
603,66,4.21
599,60,4.227
597,58,4.244
596,53,4.26
595,50,4.277
594,47,4.294
594,46,4.311
594,45,4.327
593,43,4.343
592,42,4.36
591,42,4.378
588,42,4.394
576,44,4.411
558,54,4.428
488,89,4.444
444,116,4.46
432,122,4.478
411,133,4.494
394,140,4.511
384,144,4.528
366,146,4.544
355,149,4.561
348,149,4.577
345,149,4.594
336,152,4.611
325,154,4.628
317,154,4.645
311,156,4.661
306,156,4.678
304,156,4.694
301,156,4.711
297,156,4.728
296,156,4.745
292,156,4.778
292,154,4.829
293,149,4.846
316,118,4.861
388,70,4.878
423,53,4.896
482,22,4.911
512,10,4.929
522,8,4.946
532,7,4.962
534,7,4.979
534,6,4.995
534,4,5.012
534,2,5.029
431,7,5.146
423,15,5.162
407,36,5.18
397,56,5.197
389,76,5.212
389,80,5.229
379,108,5.246
371,128,5.263
367,138,5.279
362,155,5.297
362,164,5.313
362,166,5.33
362,167,5.347
362,170,5.363
364,173,5.38
369,177,5.397
377,182,5.414
382,182,5.431
394,182,5.447
